date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,OT
2002-01-01 00:00:00,1.22262,1.16668,582.0,805.0,2060.0,754.0,176569.0
2002-01-08 00:00:00,1.33344,1.2165,683.0,872.0,2267.0,785.0,186355.0
2002-01-15 00:00:00,1.31929,1.13057,642.0,878.0,2176.0,831.0,192469.0
2002-01-22 00:00:00,1.49484,1.25246,728.0,1045.0,2599.0,863.0,207512.0
2002-01-29 00:00:00,1.47195,1.30237,823.0,1189.0,2907.0,909.0,223208.0
2002-02-05 00:00:00,1.58094,1.40551,887.0,1272.0,3225.0,930.0,229454.0
2002-02-12 00:00:00,1.49426,1.38437,851.0,1173.0,3097.0,923.0,223712.0
2002-02-19 00:00:00,1.40569,1.32563,802.0,1166.0,2967.0,922.0,223818.0
2002-02-26 00:00:00,1.6141,1.43475,834.0,978.0,2709.0,918.0,188814.0
2002-03-05 00:00:00,1.45967,1.25433,857.0,1117.0,3049.0,937.0,243078.0
2002-03-12 00:00:00,1.59896,1.25757,804.0,1179.0,2957.0,928.0,235136.0
2002-03-19 00:00:00,2.16697,1.58017,951.0,1404.0,3416.0,908.0,216179.0
2002-03-26 00:00:00,2.57842,1.98008,915.0,937.0,2857.0,865.0,144287.0
2002-04-02 00:00:00,2.38636,1.90428,1028.0,1019.0,3260.0,879.0,171193.0
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068.0,1296.0,3729.0,926.0,234513.0
2002-04-16 00:00:00,2.06296,1.81559,1154.0,1798.0,4204.0,902.0,231550.0
2002-04-23 00:00:00,2.58113,2.41801,1373.0,2998.0,5696.0,927.0,235566.0
2002-04-30 00:00:00,2.93909,2.86635,1411.0,4064.0,7079.0,884.0,246969.0
2002-05-07 00:00:00,3.22539,3.16662,1606.0,4447.0,7782.0,889.0,245751.0
2002-05-14 00:00:00,3.06982,3.0155,1568.0,4224.0,7649.0,903.0,253656.0
2002-05-21 00:00:00,3.20044,2.9978,1694.0,3689.0,7228.0,871.0,241110.0
2002-05-28 00:00:00,2.44888,2.31957,1336.0,2583.0,5606.0,857.0,241683.0
2002-06-04 00:00:00,2.1344,1.94707,1015.0,2103.0,4450.0,839.0,228549.0
2002-06-11 00:00:00,1.99866,1.72985,880.0,1669.0,3810.0,835.0,220250.0
2002-06-18 00:00:00,1.93849,1.51837,737.0,1321.0,2987.0,795.0,196724.0
2002-06-25 00:00:00,1.41293,1.22616,624.0,1016.0,2439.0,775.0,198913.0
2002-07-02 00:00:00,1.23472,1.05433,506.0,846.0,2028.0,741.0,192349.0
2002-07-09 00:00:00,1.20005,1.07108,569.0,799.0,2082.0,735.0,194383.0
2002-07-16 00:00:00,0.910135,0.8261200000000001,440.0,539.0,1467.0,669.0,177577.0
2002-07-23 00:00:00,0.932265,0.8205049999999999,429.0,508.0,1445.0,682.0,176111.0
2002-07-30 00:00:00,0.692175,0.630846,275.0,444.0,1075.0,655.0,170406.0
2002-08-06 00:00:00,0.6694060000000001,0.63935,215.0,471.0,1005.0,613.0,157191.0
2002-08-13 00:00:00,0.727705,0.586609,248.0,283.0,836.0,547.0,142514.0
2002-08-20 00:00:00,0.717701,0.7730239999999999,264.0,262.0,740.0,406.0,95728.0
2002-08-27 00:00:00,0.7893939999999999,0.790743,213.0,205.0,641.0,393.0,81063.0
2002-09-03 00:00:00,0.722129,0.711847,201.0,195.0,563.0,344.0,79090.0
2002-09-10 00:00:00,0.591326,0.794637,198.0,187.0,620.0,341.0,78023.0
2002-09-17 00:00:00,0.52307,0.586604,139.0,123.0,423.0,322.0,72110.0
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122.0,124.0,441.0,322.0,71593.0
2002-10-01 00:00:00,0.397421,0.4915069999999999,109.0,91.0,318.0,310.0,64699.0
2002-10-08 00:00:00,0.4480020000000001,0.604341,137.0,141.0,441.0,308.0,72972.0
2002-10-15 00:00:00,0.474767,0.524478,98.0,98.0,365.0,301.0,69593.0
2002-10-22 00:00:00,0.453251,0.590692,112.0,139.0,420.0,302.0,71103.0
2002-10-29 00:00:00,0.3521579999999999,0.505135,100.0,120.0,361.0,290.0,71466.0
2002-11-05 00:00:00,0.5253220000000001,0.634271,136.0,125.0,443.0,295.0,69844.0
2002-11-12 00:00:00,0.492991,0.610118,120.0,131.0,421.0,283.0,69003.0
2002-11-19 00:00:00,0.542728,0.641227,159.0,144.0,450.0,277.0,70178.0
2002-11-26 00:00:00,0.490347,0.661429,166.0,155.0,463.0,276.0,70000.0
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177.0,182.0,519.0,271.0,65474.0
2002-12-10 00:00:00,0.581771,0.639059,145.0,184.0,475.0,267.0,74328.0
2002-12-17 00:00:00,0.654162,0.636732,136.0,183.0,461.0,264.0,72401.0
2002-12-24 00:00:00,0.749504,0.747829,135.0,221.0,533.0,268.0,71273.0
2002-12-31 00:00:00,0.884021,0.960873,808.0,881.0,2442.0,830.0,254144.0
2003-01-07 00:00:00,1.02773,1.04325,913.0,1132.0,2932.0,931.0,281045.0
2003-01-14 00:00:00,1.28296,1.0545,878.0,1147.0,3031.0,974.0,287436.0
2003-01-21 00:00:00,1.32661,1.11231,1006.0,1369.0,3475.0,1007.0,312412.0
2003-01-28 00:00:00,1.7730400000000002,1.41274,1207.0,2080.0,4690.0,1074.0,331980.0
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542.0,2735.0,5790.0,1111.0,335258.0
2003-02-11 00:00:00,2.72605,2.407,2185.0,4133.0,8385.0,1141.0,348359.0
2003-02-18 00:00:00,3.73192,3.10962,2561.0,5684.0,11141.0,1129.0,358275.0
2003-02-25 00:00:00,4.54894,4.30779,3247.0,4933.0,11742.0,1118.0,272576.0
2003-03-04 00:00:00,5.39906,4.8303,4734.0,7817.0,18948.0,1189.0,392274.0
2003-03-11 00:00:00,7.38735,6.42905,6620.0,11550.0,24962.0,1173.0,388269.0
2003-03-18 00:00:00,7.48097,6.86734,6434.0,9851.0,23699.0,1148.0,345097.0
2003-03-25 00:00:00,7.627969999999999,7.064960000000001,5336.0,5231.0,16415.0,1122.0,232344.0
2003-04-01 00:00:00,5.14051,4.55115,3391.0,2894.0,11332.0,1139.0,248992.0
2003-04-08 00:00:00,2.89129,2.41833,1930.0,2299.0,7602.0,1160.0,314349.0
2003-04-15 00:00:00,2.10429,1.80906,1679.0,1857.0,5583.0,1141.0,308614.0
2003-04-22 00:00:00,1.88696,1.71202,1721.0,1604.0,4961.0,1084.0,289774.0
2003-04-29 00:00:00,1.7766,1.5425,1487.0,1543.0,4436.0,1071.0,287586.0
2003-05-06 00:00:00,1.46001,1.43787,1454.0,1448.0,4251.0,1054.0,295646.0
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420.0,1297.0,3824.0,986.0,288762.0
2003-05-20 00:00:00,1.30532,1.30726,1301.0,1255.0,3691.0,1004.0,282347.0
2003-05-27 00:00:00,1.08691,1.03698,956.0,1038.0,2916.0,948.0,281202.0
2003-06-03 00:00:00,0.991888,1.01032,925.0,910.0,2744.0,894.0,271597.0
2003-06-10 00:00:00,1.02765,1.05249,878.0,888.0,2708.0,897.0,257294.0
2003-06-17 00:00:00,1.0579,1.02009,730.0,826.0,2487.0,849.0,243802.0
2003-06-24 00:00:00,0.849361,0.924419,760.0,733.0,2300.0,859.0,248805.0
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610.0,611.0,1858.0,828.0,234998.0
2003-07-08 00:00:00,0.661708,0.80261,583.0,566.0,1705.0,774.0,212432.0
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545.0,573.0,1749.0,755.0,209178.0
2003-07-22 00:00:00,0.633071,0.7924359999999999,501.0,511.0,1615.0,679.0,203802.0
2003-07-29 00:00:00,0.569894,0.683588,470.0,404.0,1331.0,658.0,194708.0
2003-08-05 00:00:00,0.591357,0.757452,435.0,491.0,1394.0,629.0,184038.0
2003-08-12 00:00:00,0.589044,0.7885850000000001,449.0,443.0,1327.0,599.0,168276.0
2003-08-19 00:00:00,0.6786399999999999,0.812171,451.0,380.0,1262.0,553.0,155386.0
2003-08-26 00:00:00,0.637558,0.804463,375.0,349.0,1070.0,463.0,133008.0
2003-09-02 00:00:00,0.8133090000000001,0.8777010000000001,391.0,308.0,1061.0,452.0,120884.0
2003-09-09 00:00:00,0.834551,0.741453,355.0,309.0,987.0,443.0,133117.0
2003-09-16 00:00:00,0.616174,0.661022,307.0,240.0,851.0,426.0,128740.0
2003-09-23 00:00:00,0.513286,0.715109,277.0,284.0,887.0,423.0,124037.0
2003-09-30 00:00:00,0.351881,0.562241,238.0,183.0,698.0,408.0,124146.0
2003-10-07 00:00:00,0.542621,0.786808,233.0,205.0,710.0,381.0,90238.0
2003-10-14 00:00:00,0.581036,0.860658,249.0,280.0,836.0,378.0,97135.0
2003-10-21 00:00:00,0.495486,0.689944,259.0,200.0,659.0,370.0,95515.0
2003-10-28 00:00:00,0.6120899999999999,0.779691,260.0,230.0,719.0,363.0,92216.0
2003-11-04 00:00:00,0.5314909999999999,0.6281439999999999,213.0,235.0,733.0,345.0,116693.0
2003-11-11 00:00:00,0.519987,0.902459,243.0,256.0,809.0,334.0,89644.0
2003-11-18 00:00:00,0.574476,0.806443,256.0,256.0,770.0,335.0,95481.0
